core_mu,prop_genes2,rate_genes1,discrepancy
2.508763380040211e-06,0.0,2.4630841516456422e-05,0.11326856800650884
8.02164497802053e-08,0.0,1.9321346713639637e-05,-0.2981890206023634
3.179405169835596e-07,0.0,1.9118245232841882e-05,-0.21046961741880998
1.368666947227471e-07,0.0,5.468297515220669e-05,-0.19402356956218772
3.176781415624873e-08,0.0,2.281200893449078e-05,-0.2610275750163477
3.1305733199554793e-09,0.0,5.741093017088831e-05,-0.09403369150360744
4.005953464288663e-09,0.0,1.0156703346676462e-05,-0.055790851600845875
2.423858032593367e-08,0.0,9.809282763852791e-05,-0.2227081453809988
1.3051718288497595e-09,0.0,2.6318865251851834e-05,0.0023251039079696385
4.632369353425489e-09,0.0,0.00016820920975640853,-0.15761489132326045
1.3246536451203345e-09,0.0,7.894787667400154e-05,-0.03744639279889039
8.932170014882365e-09,0.0,7.039498049729325e-05,-0.17568107840390473
2.387980792726249e-09,0.0,1.2600197729380867e-05,-0.01216685426121712
2.085285416249979e-09,0.0,2.1186273026394773e-05,-0.019018672477670945
1.6927268222343884e-09,0.0,1.9575008227858934e-05,-0.011173220333771001
0.00036797040362001926,0.0,3.222233051890858e-05,0.13238066708760932
6.249220199001468e-05,0.0,1.5166388564179857e-05,0.1323804073387962
9.827898249186373e-05,0.0,1.5400496569086182e-05,0.13238066708760932
0.0009988803764470276,0.0,5.527116910481634e-05,0.13238066708760932
0.0007899798219075262,0.0,1.56215920453407e-05,0.13238066708760932
0.000610375050289464,0.0,4.5987848268653994e-05,0.13238066708760932
0.0006373732437315108,0.0,1.6787049523235705e-05,0.13238066708760932
0.00034037922935964226,0.0,1.931156923672009e-05,0.13238066708760932
0.0005189629628742465,0.0,1.4718270324734758e-05,0.13238066708760932
0.00021555326745535943,0.0,1.2405383658236346e-05,0.13238066708760932
7.658141548742151e-08,0.0,2.071733518177183e-05,-0.2972300238821377
1.218360889273767e-07,0.0,1.7140096056537384e-05,-0.26889007928614184
